,month,unique_carrier,origin_airport_id,dest_airport_id,distance,arr_delay,carrier_avg_monthly_payload,carrier_avg_monthly_psngr,carrier_avg_monthly_dep_scheduled,carrier_avg_monthly_r2r,airport_avg_taxi_out,airport_avg_taxi_in
165,3,AA,13930,14747,1721,3.0,1501500.0,4827.0,33.8,4081.0,26.06,14.5
166,3,AA,13930,14747,1721,-13.0,1501500.0,4827.0,33.8,4081.0,26.06,14.5
167,7,UA,14771,14747,679,-1.0,96268.0,264.5,18.67,408.0,20.26,14.5
168,6,NK,12889,14747,867,-17.0,291200.0,1238.0,12.5,1926.0,14.32,14.5
169,6,DL,13342,14747,1694,18.0,1612228.5,5781.5,56.25,5836.0,14.29,14.5
170,4,OO,13342,14747,1694,11.0,580140.0,2227.5,47.5,4180.0,14.29,14.5
171,7,AS,10299,14747,1448,-20.0,915600.0,3094.5,23.5,4269.0,10.0,14.5
172,5,AS,12523,14747,909,-4.0,1188800.0,4221.0,34.67,6728.0,9.0,14.5
173,5,AS,12523,14747,909,6.0,1188800.0,4221.0,34.67,6728.0,9.0,14.5
174,3,AA,13930,12451,864,18.0,1501500.0,4827.0,33.8,4081.0,26.06,5.22
175,4,AA,13930,12451,864,-3.0,2111000.0,5018.0,40.86,7360.0,26.06,5.22
176,3,DL,10397,12451,270,62.0,1451660.0,3795.0,48.0,3661.0,16.59,5.22
177,3,WN,10821,12451,663,19.0,325500.0,1160.5,13.42,920.5,12.58,5.22
178,6,F9,14100,12451,742,-8.0,276000.0,1253.5,7.5,1201.0,22.22,5.22
179,1,WN,11697,12451,319,-16.0,217000.0,595.0,9.9,683.0,18.67,5.22
180,7,DL,12478,12451,828,-26.0,102190.0,257.0,24.18,496.0,25.64,5.22
181,2,OO,13930,14952,174,100.0,364000.0,562.0,28.67,1942.0,26.06,4.0
182,1,UA,13930,11618,719,8.0,582563.0,2315.0,31.15,3046.0,26.06,11.64
183,6,UA,14771,11618,2565,-5.0,116345.0,462.0,22.45,320.0,20.26,11.64
184,5,UA,14771,11618,2565,-2.0,65066.0,201.0,13.29,333.0,20.26,11.64
185,7,UA,14771,11618,2565,-9.0,96268.0,264.5,18.67,408.0,20.26,11.64
186,1,AS,14771,11618,2565,-1.0,212600.0,817.0,8.0,1361.0,20.26,11.64
187,3,DL,10397,11618,746,-12.0,1451660.0,3795.0,48.0,3661.0,16.59,11.64
188,7,NK,12889,11618,2227,-19.0,167200.0,810.0,6.25,948.0,14.32,11.64
189,2,UA,10994,11618,628,-2.0,222585.5,578.5,9.42,555.0,12.14,11.64
190,1,UA,13204,11618,937,28.0,582563.0,2315.0,31.15,3046.0,15.69,11.64
191,4,B6,13204,11618,937,61.0,37400.0,140.0,36.2,251.0,15.69,11.64
192,9,YX,13485,11618,799,-7.0,992036.5,1737.5,45.5,3179.0,14.86,11.64
193,7,UA,12266,11618,1400,-19.0,96268.0,264.5,18.67,408.0,18.5,11.64
194,8,UA,14679,11618,2425,107.0,484224.5,1862.5,13.75,1492.5,14.0,11.64
195,3,YX,14683,11618,1569,32.0,21803.0,69.0,12.4,153.0,14.5,11.64
196,8,YX,14122,11618,319,-18.0,95460.0,242.0,5.0,468.0,13.75,11.64
197,3,YX,10785,11618,266,-13.0,21803.0,69.0,12.4,153.0,15.0,11.64
198,7,YX,14986,11618,1034,-14.0,21803.0,69.0,1.0,88.0,15.0,11.64
199,2,UA,13930,14869,1250,-3.0,222585.5,578.5,9.42,555.0,26.06,5.73
200,9,DL,11433,14869,1481,-4.0,1423610.0,4261.0,32.4,3183.0,18.65,5.73
201,4,OO,14771,14869,599,-12.0,580140.0,2227.5,47.5,4180.0,20.26,5.73
202,6,DL,10397,14869,1590,29.0,1612228.5,5781.5,56.25,5836.0,16.59,5.73
203,9,OO,13891,14869,558,-16.0,372400.0,1386.5,29.88,3909.5,10.67,5.73
204,2,DL,14057,14869,630,-1.0,196360.0,683.0,17.43,899.0,12.56,5.73
205,4,OO,10849,14869,347,-14.0,580140.0,2227.5,47.5,4180.0,14.33,5.73
206,8,OO,11097,14869,298,-4.0,451000.0,1509.0,27.4,3668.0,14.0,5.73
207,2,AA,13930,13303,1197,-10.0,977700.0,2927.0,24.2,5228.0,26.06,11.54
208,6,AA,12953,13303,1096,15.0,809050.0,2745.5,20.5,3775.5,27.09,11.54
209,1,AA,11298,13303,1121,-19.0,1652900.0,5487.0,58.22,7776.0,18.06,11.54
210,1,AA,10397,13303,594,-1.0,1652900.0,5487.0,58.22,7776.0,16.59,11.54
211,2,AA,10721,13303,1258,16.0,977700.0,2927.0,24.2,5228.0,22.71,11.54
212,9,DL,12478,13303,1089,-25.0,1423610.0,4261.0,32.4,3183.0,25.64,11.54
213,7,YX,15016,13303,1068,31.0,21803.0,69.0,1.0,88.0,15.3,11.54
214,8,UA,13930,14635,1120,-22.0,484224.5,1862.5,13.75,1492.5,26.06,4.6
215,2,NK,13930,14635,1120,113.0,113800.0,493.5,5.25,480.0,26.06,4.6
216,1,DL,11433,14635,1084,-31.0,1636689.0,4818.0,29.8,9688.5,18.65,4.6
217,5,AA,11298,14635,1017,115.0,2783300.0,8598.0,73.8,8516.0,18.06,4.6
218,8,WN,13232,14635,1105,-18.0,675300.0,2151.0,28.5,2738.5,10.31,4.6
219,1,WN,10821,14635,919,-11.0,217000.0,595.0,9.9,683.0,12.58,4.6
220,3,NK,11042,14635,1025,3.0,910000.0,3666.0,25.0,4076.0,13.0,4.6
221,5,UA,13930,13204,1005,-10.0,65066.0,201.0,13.29,333.0,26.06,10.79
222,1,AA,12892,13204,2218,-7.0,1652900.0,5487.0,58.22,7776.0,18.64,10.79
223,5,NK,11298,13204,985,6.0,36400.0,157.0,1.0,163.0,18.06,10.79
224,1,WN,10397,13204,404,-8.0,217000.0,595.0,9.9,683.0,16.59,10.79
225,5,NK,12889,13204,2039,-14.0,36400.0,157.0,1.0,163.0,14.32,10.79
226,5,WN,14100,13204,861,-7.0,1764600.0,6204.0,49.57,5697.0,22.22,10.79
227,8,B6,10423,13204,994,-7.0,1629600.0,7093.0,52.5,8647.0,14.78,10.79
228,7,B6,12478,13204,944,11.0,681200.0,1649.0,28.0,2672.0,25.64,10.79
229,8,B6,10732,13204,1129,-31.0,1629600.0,7093.0,52.5,8647.0,7.0,10.79
230,9,UA,13930,12173,4243,-18.0,362407.0,1075.5,13.38,2060.5,26.06,5.33
231,3,DL,13487,12173,3972,-2.0,1451660.0,3795.0,48.0,3661.0,17.79,5.33
232,8,OO,13930,11042,315,-6.0,451000.0,1509.0,27.4,3668.0,26.06,6.33
233,8,WN,13232,11042,307,-11.0,675300.0,2151.0,28.5,2738.5,10.31,6.33
234,7,WN,13232,11042,307,-9.0,1128400.0,3585.0,55.54,4874.0,10.31,6.33
235,7,B6,11697,11042,1062,58.0,681200.0,1649.0,28.0,2672.0,18.67,6.33
236,7,NK,11697,11042,1062,9.0,167200.0,810.0,6.25,948.0,18.67,6.33
237,3,YX,11618,11042,404,0.0,21803.0,69.0,12.4,153.0,26.0,6.33
238,8,AA,13930,14100,678,4.0,1355450.0,4577.0,28.75,8604.5,26.06,16.29
239,9,AA,13303,14100,1013,3.0,870850.0,2750.0,17.5,3927.5,25.0,16.29
240,3,AA,11057,14100,449,-2.0,1501500.0,4827.0,33.8,4081.0,24.32,16.29
