,fl_date,weather
250,2019-09-08,rainy
251,2019-09-09,snow
252,2019-09-10,snow
253,2019-09-11,snow
254,2019-09-12,snow
255,2019-09-13,snow
256,2019-09-14,sunny
257,2019-09-15,snow
258,2019-09-16,rainy
259,2019-09-17,sunny
260,2019-09-18,sunny
261,2019-09-19,sunny
262,2019-09-20,snow
263,2019-09-21,snow
264,2019-09-22,snow
265,2019-09-23,sunny
266,2019-09-24,sunny
267,2019-09-25,snow
268,2019-09-26,sunny
269,2019-09-27,snow
270,2019-09-28,rainy
271,2019-09-29,snow
272,2019-09-30,rainy
273,2019-10-01,snow
274,2019-10-02,snow
275,2019-10-03,snow
276,2019-10-04,snow
277,2019-10-05,rainy
278,2019-10-06,sunny
279,2019-10-07,sunny
280,2019-10-08,sunny
281,2019-10-09,cloudy
282,2019-10-10,snow
283,2019-10-11,snow
284,2019-10-12,sunny
285,2019-10-13,rainy
286,2019-10-14,sunny
287,2019-10-15,snow
288,2019-10-16,rainy
289,2019-10-17,sunny
290,2019-10-18,sunny
291,2019-10-19,sunny
292,2019-10-20,sunny
293,2019-10-21,rainy
294,2019-10-22,snow
295,2019-10-23,sunny
296,2019-10-24,sunny
297,2019-10-25,sunny
298,2019-10-26,rainy
299,2019-10-27,rainy
300,2019-10-28,cloudy
301,2019-10-29,rainy
302,2019-10-30,rainy
303,2019-10-31,snow
304,2019-11-01,cloudy
305,2019-11-02,snow
306,2019-11-03,sunny
307,2019-11-04,cloudy
308,2019-11-05,sunny
309,2019-11-06,cloudy
310,2019-11-07,snow
311,2019-11-08,sunny
312,2019-11-09,sunny
313,2019-11-10,cloudy
314,2019-11-11,snow
315,2019-11-12,snow
316,2019-11-13,snow
317,2019-11-14,snow
318,2019-11-15,cloudy
319,2019-11-16,cloudy
320,2019-11-17,rainy
321,2019-11-18,rainy
322,2019-11-19,rainy
323,2019-11-20,cloudy
324,2019-11-21,rainy
325,2019-11-22,sunny
326,2019-11-23,snow
327,2019-11-24,sunny
328,2019-11-25,cloudy
329,2019-11-26,rainy
330,2019-11-27,rainy
331,2019-11-28,snow
332,2019-11-29,snow
333,2019-11-30,rainy
334,2019-12-01,snow
335,2019-12-02,snow
336,2019-12-03,cloudy
337,2019-12-04,sunny
338,2019-12-05,cloudy
339,2019-12-06,snow
340,2019-12-07,sunny
341,2019-12-08,cloudy
342,2019-12-09,snow
343,2019-12-10,cloudy
344,2019-12-11,cloudy
345,2019-12-12,sunny
346,2019-12-13,cloudy
347,2019-12-14,cloudy
348,2019-12-15,cloudy
349,2019-12-16,snow
350,2019-12-17,sunny
351,2019-12-18,snow
352,2019-12-19,sunny
353,2019-12-20,cloudy
354,2019-12-21,sunny
355,2019-12-22,sunny
356,2019-12-23,sunny
357,2019-12-24,cloudy
358,2019-12-25,cloudy
359,2019-12-26,cloudy
360,2019-12-27,cloudy
361,2019-12-28,cloudy
362,2019-12-29,rainy
363,2019-12-30,snow
364,2019-12-31,snow
