month,airline_id,unique_carrier,tdomt_cost,tdomt_gallons
4,20007,5Y,9484407,5636265
4,20402,GL,573179,314277
8,20370,KAQ,3981973,1602652
9,20409,B6,88702392,47711471
8,20166,GFQ,404453,193770
6,20108,NC,787763,407071
6,20007,5Y,26813120,11988906
7,19690,HA,23088167,16133931
3,20377,X9,739193,371469
1,20453,ABX,100111,44160
12,20408,5V,906200,347211
4,20151,M6,603805,313090
5,20416,NK,83576243,37152807
10,20190,9S,3004637,1277479
1,20207,XP,687478,304290
1,21629,KD,965656,586944
5,20310,WL,586,3104
2,20416,NK,59719696,27408648
5,21629,KD,14921,14921
1,20287,WP,116920,97142
6,20370,KAQ,672897,407415
12,19805,AA,250305696,185221992
6,19790,DL,414219712,190645694
11,19805,AA,241684432,169808874
2,20007,5Y,9740436,5198635
7,21634,KH,822598,429557
8,20107,FX,78393000,59971704
5,19790,DL,372431466,149943988
8,20436,F9,31340304,20158355
4,20447,U7,607201,467078
5,20007,5Y,15016444,6214653
10,20368,G4,23346221,13580127
11,20448,S5,8075751,5733889
2,19977,UA,170922024,106044579
11,21634,KH,792696,434131
5,20166,GFQ,395106,204384
4,19805,AA,348977443,177072576
1,20100,PO,5600244,3095682
6,19393,WN,307472174,175444931
9,20370,KAQ,2365409,1304493
6,20207,XP,97549,49032
5,20100,PO,5758153,2756574
4,20368,G4,23788422,12232341
9,20372,KLQ,278103,112152
1,21629,KD,2693455,1404278
4,19917,5X,76798000,37224000
5,19690,HA,21727441,14425410
3,20287,WP,437911,254069
1,19805,AA,267005785,174090394
12,20108,NC,882663,496392
5,20436,F9,27255359,18893480
8,20151,M6,2520070,1170963
7,19805,AA,386300528,200831199
1,21634,KH,723082,436860
9,20304,OO,8966030,5643514
3,20409,B6,102771307,48620309
2,20108,NC,637568,347703
11,20370,KAQ,2865307,1893626
10,19790,DL,278373702,162455296
9,19977,UA,174087571,118074789
7,20408,5V,1038493,503327
2,20190,9S,1096175,521988
3,20166,GFQ,181508,115405
9,20447,U7,988066,620730
11,19917,5X,85090000,43981000
6,21171,VX,24491852,16849312
8,20377,X9,575440,383080
4,20166,GFQ,240225,119572
